scientificName,decimalLatitude,decimalLongitude
Elaphoglossum,-24.6333333,46.7666667
Asplenium_bipartitum,-24.6333333,46.7666667
Lindsaea_subtilis,-24.6333333,46.7666667
Pteris,-24.6333333,46.7666667
Selaginella,-24.6333333,46.7666667
Loxogramme_lanceolata,-24.6333333,46.7666667
Adiantum_phanerophlebium,-24.6333333,46.7666667
Elaphoglossum_perrierianum,-24.6333333,46.7666667
Vittaria_ensiformis,-24.6333333,46.7666667
Ctenopteris_zenkeri,-24.6333333,46.7666667
Grammitis,-24.6333333,46.7666667
Asplenium_blastophorum,-24.6319445,46.75
Lomariopsis_commersonii,-24.6319445,46.75
Asplenium_erectum,-24.6319445,46.75
Asplenium,-24.6319445,46.75
Asplenium_poolii,-24.6319445,46.75
Elaphoglossum_hybridum,-24.6319445,46.7525
Antrophyum_malgassicum,-24.6319445,46.7525
Cyathea_tsilotsilensis,-24.6319445,46.7580556
Cyathea_boivinii_boivinii,-24.6319445,46.7580556
Cyathea_acutula_deltoidea,-24.6319445,46.7580556
Lomariopsis_holttumii,-24.6319445,46.7644444
Christella_distans,-24.6319445,46.7663889
Microlepia_madagascariensis,-24.6319445,46.7666667
Lindsaea_goudotiana,-24.6319445,46.7666667
Lomariopsis_warneckei,-24.6319445,46.7666667
Loxogramme_humblotii,-24.6319445,46.7755556
Ctenitis_madagascariensis,-24.6166667,46.75
Cyathea_boivinii_hildebrandtii,-24.605,46.74027
Pityrogramma_argentea,-24.6,46.7
Cheilanthes_perrieri,-24.6,46.7
Doryopteris_kitchingii,-24.6,46.7
Pellaea_calomelanos,-24.6,46.7
Cyathea_andohahelensis,-24.6,46.7
Asplenium_rutaefolium,-24.6,46.7333333
Asplenium,-24.5955555,47.0452777
Cyathea,-24.5955555,47.0452777
Cyathea_melleri,-24.5944444,46.7416666
Schizaea_dichotoma,-24.5925,47.21444
Pyrrosia_niphoboloides,-24.5925,47.2144444
Schizea,-24.58805,47.145
Antigramma_virchowii,-24.5852777,46.7341666
Asplenium_dregeanum,-24.5852777,46.7341666
Asplenium,-24.5852777,46.7341666
Cyathea_borbonica_laevigata,-24.5852777,46.7341666
Lomariopsis_holttumii,-24.5852777,46.7341666
Cyrtomium_caryotideum,-24.5852777,46.7341666
Lomariopsis_commersonii,-24.5852777,46.7341666
Cyathea_decrescens_decrescens,-24.5852777,46.7416666
Adiantum,-24.5852777,47.0375
Phymatodes,-24.5852777,47.0375
Asplenium,-24.585,47.0372222
Grammitis_membranifolia,-24.5844444,46.7355555
Cyathea_pseudobellisquamata,-24.5844444,46.7355555
Blechnum_bakeri,-24.5844444,46.7355555
Huperzia_cavifolia,-24.5844444,46.7355555
Trichomanes_montanum,-24.5844444,46.7355555
Didymochlaena_madagascariensis,-24.5844444,46.7355555
Diplazium_zakamenense,-24.5844444,46.7355555
Huperzia_ophioglossoides,-24.5833333,46.7333333
Huperzia_gagnepainiana,-24.5833333,46.7333333
Blechnum_bakeri,-24.5833333,46.7333333
Alsophila_similis,-24.5827778,47.15
Selaginella_lyallii,-24.5780556,47.0241667
Microsorum_punctatum,-24.5766667,47.0275
Elaphoglossum_conforme,-24.5713889,47.1436111
Lonchitis_madagascariensis,-24.5713889,47.1436111
Elaphoglossum_pendulum,-24.5713889,47.1436111
Asplenium_pellucidum,-24.5713889,47.1436111
Elaphoglossum_conforme,-24.5711111,47.2013889
Psilotum_nudum,-24.5711111,47.2013889
Psilotum,-24.57111,47.20138
Humata_repens,-24.57111,47.20138
Huperzia_humbertii-henrici,-24.5708334,46.7166667
Asplenium_erectum,-24.5708334,46.7166667
Asplenium_viviparioides,-24.5708334,46.7166667
Diplazium_zakamenense,-24.5708334,46.7166667
Asplenium_sandersonii,-24.5708334,46.7166667
Haplopteris_humblotii,-24.5708334,46.7188889
Alsophila_andohahelensis,-24.5708334,46.7188889
Cyathea_boivinii_bevolo,-24.5708334,46.7327778
Cyathea_similis_leptoderma,-24.5708334,46.7327778
Blotiella_glabra,-24.5708334,46.7333333
Abrodictyum_cupressoides,-24.5705556,47.2011111
Grammitis_dauphinensis,-24.5705556,47.2011111
Asplenium_bipartitum,-24.5702778,47.2002778
Elaphoglossum_nidusoides,-24.5702778,47.2005556
Grammitis_dauphinensis,-24.57027,47.20055
Antrophyum_immersum,-24.57,47.195
Ophioglossum_reticulatum,-24.57,47.195
Selaginella_polymorpha,-24.57,47.195
Bolbitis_humblotii,-24.57,47.195
Selaginella_pervillei,-24.5695167,47.2058333
Asplenium,-24.56777,47.21027
Cyathea_dilatata,-24.5666667,46.7166667
Arthropteris_monocarpa,-24.5666667,46.7333333
Salvinia,-24.5661111,47.1388889
Asplenium,-24.5644444,47.1952777
Elaphoglossum,-24.5644444,47.2402777
Antrophyum_immersum,-24.5644444,47.2402777
Lycopodiella_cernua,-24.56444,47.19527
Phymatosorus_scolopendria,-24.56444,47.19527
Schizaea_dichotoma,-24.56444,47.19527
Asplenium_bipartitum,-24.5641667,47.2002778
Elaphoglossum_sieberi,-24.5630556,47.1366666
Schizaea_dichotoma,-24.5627778,47.0666667
Macrothelypteris_torresiana,-24.56194,47.2025
Thelypteris,-24.56194,47.2025
Nephrolepis_biserrata,-24.56194,47.2025
Cyathea_andohahelensis,-24.56,47.1858333
Asplenium_afzelii,-24.5586111,47.0619444
Ophioglossum,-24.5586111,47.0658333
Cyathea_meridionalis,-24.5583333,46.7166667
Cyathea_boivinii_boivinii,-24.5583333,46.7166667
Cyathea_boivinii_boivinii,-24.5519444,46.7175
Leucotrichum_madagascariense,-24.5519444,46.7175
Asplenium_theciferum,-24.5519444,46.7175
Vittaria_isoetifolia,-24.5519444,46.7175
Ceradenia_pseudodevoluta,-24.5519444,46.7175
Asplenium_protensum,-24.5519444,46.7175
Asplenium_aethiopicum,-24.5519444,46.7175
Leucotrichum_madagascariense,-24.5519,46.7175
Osmunda_regalis,-24.55,46.71666
Asplenium_erectum,-24.55,46.71666
Asplenium_sandersonii,-24.55,46.71666
Asplenium_rutifolium,-24.55,46.71666
Asplenium_sandersonii,-24.55,46.7166667
Asplenium_rutifolium,-24.55,46.7166667
Osmunda_regalis,-24.55,46.7166667
Lepisorus_schraderi,-24.55,46.7166667
Elaphoglossum_coursii,-24.55,46.7166667
Asplenium_erectum,-24.55,46.7166667
Asplenium_poolii,-24.55,46.7166667
Blechnum_tabulare,-24.55,46.7166667
Lomariocycas_tabularis,-24.55,46.716667
Crepidomanes_melanotrichum,-24.55,46.86666
Pleopeltis_schraderi,-24.55,46.86666
Asplenium_sandersonii,-24.55,46.8666667
Asplenium_inaequilaterale,-24.55,46.8666667
Asplenium_blastophorum,-24.55,46.8666667
Asplenium_afzelii,-24.55,46.8666667
Asplenium_rutaefolium,-24.55,46.8666667
Belvisia_spicata,-24.55,46.8666667
Elaphoglossum_sieberi,-24.55,46.8666667
Asplenium_poolii,-24.55,46.8666667
Lomariopsis_cordata,-24.55,47.0666667
Tectaria_madagascarica,-24.55,47.0666667
Cyathea_decrescens_decrescens,-24.5416666,46.8833333
Cheilanthes_hirta_contracta,-24.5333333,46.6333333
Rumohra_linearisquamata,-24.5333333,46.8
Cyathea_pseudobellisquamata,-24.5333333,46.8833333
Pteris_griseoviridis,-24.5333333,46.8833333
Asplenium_affine,-24.5330556,47.1619444
Huperzia_phlegmaria_tardieuae,-24.5288889,47.1630556
Pityrogramma_humbertii,-24.5166667,46.7166667
Cheilanthes_madagascariensis,-24.5166667,46.7166667
Cyathea_meridionalis,-24.5166667,46.9666667
Didymochlaena_deltoidea,-24.5166667,46.9666667
Pellaea_calomelanos,-24.51666,46.61666
Elaphoglossum,-24.5102778,47.095
Blechnum_attenuatum_giganteum,-24.5083333,46.6916666
Schizaea_dichotoma,-24.5061111,47.1633333
Asplenium_bipartitum,-24.5016667,47.0855555
Huperzia,-24.5016667,47.0855555
Elaphoglossum,-24.5016667,47.0855555
Pellaea_striata,-24.5,46.5833333
Blechnum_tabulare,-24.5,46.6166667
Nephrolepis_biserrata,-24.5,47.0872222
Phymatodes_scolopendria,-24.4941666,47.0941666
Adiantum,-24.4941666,47.0941666
Microsorum_scolopendria,-24.4747223,47.1819445
Asplenium_pellucidum,-24.4747223,47.1819445
Blechnum_biforme,-24.4333333,46.85
Saccoloma_henriettae,-24.4333333,46.8833333
Cyathea_poolii,-24.4333333,46.8833333
Blechnum_bakeri,-24.4333333,46.8833333
Doryopteris_humbertii,-24.4333333,46.8833333
Pteris_griseoviridis,-24.4333333,46.8833333
Doryopteris_humbertii,-24.4333333,47
Vittaria_isoetifolia,-24.4333333,47
Asplenium_petiolulatum,-24.4333333,47
Asplenium_dregeanum,-24.4333333,47
Asplenium_sulcatum,-24.4333333,47
Selaginella_goudotiana_goudotiana,-24.4333333,47
Cyathea_boivinii_boivinii,-24.4333333,47
Asplenium_virchowii,-24.4333333,47
Antrophyum_malgassicum,-24.4333333,47
Davallia_repens,-24.4333333,47
Asplenium_bipartitum,-24.43333,47
Cyathea_decrescens_decrescens,-24.4166667,46.9666667
Pellaea,-24.4166667,46.9666667
Cyathea_boivinii_boivinii,-24.41666,46.96666
Blechnum_bakeri,-24.4,46.8833333
Anemia_lanipes,-24.4,47.18333
Asplenium_cordatum,-24.3833333,46.6333333
Cyathea_dregei,-24.3666667,47.1666667
Deparia,-24.3380555,47.1127778
Actiniopteris_dimorpha,-24.3372222,46.2005556
Blechnum_biforme,-24.3333333,47.1333333
Rumohra_adiantiformis,-24.3333333,47.1333333
Elaphoglossum_vohimavense,-24.3333333,47.1333333
Zygophlebia_goodmannii,-24.33333,47.13333
Cyathea_decrescens_cristata,-24.33333,47.13333
Cyathea_melanocaula,-24.33333,47.13333
Grammitis_dauphinensis,-24.33333,47.13333
Selaginella_echinata,-24.28333,47.31666
Actiniopteris_radiata,-24.2744445,46.2044444
Selaginella_proxima,-24.2744445,46.2044444
Selaginella_digitata,-24.2672223,46.2191667
Selaginella_digitata,-24.25,44.08333
Cyathea_marattioides,-24.22,47.35
Alsophila_marattioides,-24.216667,47.35
Selaginella_moratii,-24.2166667,44.2833333
Selaginella_polymorpha,-24.21666,47.35
Cyathea_marattioides,-24.21666,47.35
Doryopteris_pilosa_pilosa,-24.2,46.3166667
Pellaea_striata,-24.2,46.3166667
Dryopteris_pilosa,-24.1852777,46.28
Sphaerostephanos,-24.1416666,47.0775
Asplenium,-24.1413889,47.0755556
Thelypteris,-24.1402777,47.0755556
Deparia,-24.1397222,47.0719445
Asplenium,-24.1397222,47.0725
Christella,-24.1397222,47.0725
Anthrophyum,-24.1394444,47.0677778
Cyclosorus,-24.1394444,47.0738889
Macrothelypteris,-24.1394444,47.0738889
Doryopteris_pedatoides,-24.0833333,45.7
Pityrogramma_calomelanos,-24.0833333,45.7
Actiniopteris_radiata,-24.05,43.75
Selaginella,-23.85,44.4
Elaphoglossum_humbertii,-23.85,46.95
Cyathea_melleri,-23.85,46.95
Huperzia_cavifolia,-23.84305,46.95444
Cyathea_dregei,-23.8416666,46.4333333
Alsophila_boivinii,-23.8402777,46.9577778
Pellaea_boivinii,-23.8397222,46.9552778
Blechnum,-23.8397222,46.9552778
Elaphoglossum_humbertii,-23.8397222,46.9552778
Rumohra_adiantiformis,-23.83972,46.95527
Loxogramme_abyssinica,-23.83972,46.95527
Grammitis_holophlebia,-23.83972,46.95527
Hymenophyllum_fuciforme,-23.83972,46.95555
Psilotum,-23.83972,46.95555
Tectaria,-23.83944,46.95722
Asplenium_petiolulatum,-23.8391666,46.9561111
Vittaria_humblotii,-23.8391666,46.9561111
Asplenium_friesiorum,-23.8391666,46.9580556
Asplenium,-23.8391666,46.9580556
Hymenophyllum_poolii,-23.83777,46.95722
Asplenium,-23.8366666,46.9586111
Asplenium,-23.83666,46.95861
Grammitis_synsora,-23.8333333,46.4333333
Blechnum_punctulatum,-23.8333333,46.4333333
Polystichum_kalambatitrense,-23.8333333,46.4333333
Pellaea_tripinnata,-23.8333333,46.4333333
Huperzia_humbertii-henrici,-23.8333333,46.4666667
Ceradenia_pseudodevoluta,-23.8319445,46.9594444
Nephrolepis_cordifolia,-23.8166667,46.9333333
Crepidomanes_longilabiatum,-23.8166667,46.9333333
Blechnum_tabulare,-23.8166667,46.9833333
Marsilea_aegyptica,-23.8,46.8166667
Stenogrammitis_micropecten,-23.7994444,46.9847222
Antrophyum_malgassicum,-23.7469444,47.0272223
Lycopodiella_cernua,-23.7469444,47.0272223
Saccoloma_henriettae,-23.7469444,47.0272223
Asplenium_petiolulatum,-23.7469444,47.0272223
Huperzia_phlegmaria_tardieuae,-23.7469444,47.0272223
Rumohra,-23.7425,47.02055
Drynaria_willdenowii,-23.7422222,47.0236111
Huperzia_megastachya,-23.74222,47.02361
Lindsaea,-23.74222,47.02361
Blotiella,-23.74222,47.02361
Osmunda,-23.74138,47.02638
Phymatosorus,-23.74138,47.02638
Cyathea,-23.74138,47.02638
Schizea_digitata,-23.7333333,47.0297223
Nephrolepis_cordifolia,-23.7333333,47.0297223
Huperzia_phlegmaria_tardieuae,-23.7333333,47.0297223
Blechnum_attenuatum_attenuatum,-23.7333333,47.1
Selaginella_nivea_nivea,-23.73333,44.36666
Vittaria_humblotii,-23.7327778,47.0291667
Asplenium_inaequilaterale,-23.7327778,47.0291667
Alsophila_viguieri,-23.7327778,47.0291667
Rumohra_madagascarica,-23.7327778,47.0291667
Selaginella_lyallii,-23.73277,47.02916
Saccoloma_henriettae,-23.73277,47.02916
Vittaria_elongata,-23.73277,47.02916
Asplenium,-23.7258889,47.0368611
Elaphoglossum_spatulatum,-23.7258889,47.0368611
Osmolindsaea_leptolepida,-23.7258889,47.0368611
Loxogramme_lanceolata,-23.7258889,47.0368611
Asplenium_affine_affine,-23.7258889,47.0368611
Selaginella_polymorpha,-23.7258889,47.0368611
Lomariopsis_pollicina,-23.7166667,47.0333333
Asplenium_nidus,-23.6977222,47.0265834
Asplenium_pellucidum,-23.6977222,47.0265834
Asplenium,-23.6977222,47.0265834
Rumohra_adiantiformis,-23.6977222,47.0265834
